date,open,close,high,low,volume,code,returnRate,return
2013-01-04,7.0,6.9,7.05,6.81,174687.0,600696,,
2013-01-07,6.9,7.06,7.19,6.86,248275.0,600696,0.02318840579710134,0.023188405797101345
2013-01-08,7.06,6.94,7.09,6.9,161357.0,600696,-0.01699716713881009,-0.01699716713881009
2013-01-09,6.89,6.85,6.97,6.79,129685.0,600696,-0.012968299711815668,-0.012968299711815668
2013-01-10,6.85,6.88,7.02,6.83,102365.0,600696,0.004379562043795657,0.004379562043795657
2013-01-11,6.91,6.6,6.94,6.51,162981.0,600696,-0.04069767441860469,-0.04069767441860469
2013-01-14,6.51,6.76,6.86,6.51,128598.0,600696,0.024242424242424267,0.02424242424242427
2013-01-15,6.78,6.8,6.83,6.71,132360.0,600696,0.0059171597633136145,0.0059171597633136145
2013-01-16,6.8,6.75,6.9,6.69,142310.0,600696,-0.007352941176470562,-0.007352941176470562
2013-01-17,6.71,6.71,6.84,6.6,132194.0,600696,-0.005925925925925931,-0.005925925925925931
2013-01-18,6.74,6.97,7.1,6.7,259633.0,600696,0.03874813710879282,0.03874813710879282
2013-01-21,6.92,7.04,7.11,6.91,264118.0,600696,0.010043041606886698,0.010043041606886698
2013-01-22,7.03,6.8,7.05,6.72,170908.0,600696,-0.03409090909090912,-0.034090909090909116
2013-01-23,6.8,6.81,6.89,6.71,91394.0,600696,0.0014705882352940864,0.0014705882352940866
2013-01-24,6.78,6.85,7.06,6.61,207633.0,600696,0.005873715124816452,0.005873715124816452
2013-01-25,6.79,6.9,7.03,6.76,208518.0,600696,0.007299270072992805,0.007299270072992805
2013-01-28,6.86,7.07,7.14,6.8,228496.0,600696,0.024637681159420277,0.02463768115942028
2013-01-29,7.05,7.02,7.17,6.99,192350.0,600696,-0.007072135785007172,-0.0070721357850071715
2013-01-30,7.03,7.32,7.6,6.97,399404.0,600696,0.04273504273504284,0.04273504273504284
2013-01-31,7.26,7.14,7.31,7.08,193093.0,600696,-0.024590163934426312,-0.024590163934426312
2013-02-01,7.1,7.0,7.12,6.93,151691.0,600696,-0.019607843137254857,-0.019607843137254857
2013-02-04,7.0,6.94,7.1,6.92,117345.0,600696,-0.008571428571428516,-0.008571428571428516
2013-02-05,6.9,7.0,7.06,6.86,99865.0,600696,0.008645533141210318,0.008645533141210318
2013-02-06,7.01,6.93,7.05,6.92,84086.0,600696,-0.01000000000000004,-0.01000000000000004
2013-02-07,6.9,6.86,6.94,6.74,124174.0,600696,-0.010101010101010015,-0.010101010101010015
2013-02-08,6.86,6.84,6.92,6.82,69769.0,600696,-0.002915451895043799,-0.002915451895043799
