date,open,close,high,low,volume,code,returnRate,return
2013-09-17,6.43,6.43,6.43,6.34,73427.0,35,,
2013-09-18,6.7,6.11,6.7,6.11,64139.0,35,-0.049766718506998354,-0.04976671850699835
2013-09-23,5.805,5.805,5.805,5.805,3079.0,35,-0.049918166939443634,-0.049918166939443634
2013-09-24,5.515,5.515,5.515,5.515,11265.0,35,-0.04995693367786392,-0.04995693367786392
2013-09-25,5.28,5.24,5.475,5.24,99969.0,35,-0.049864007252946416,-0.049864007252946416
2013-09-26,5.14,4.98,5.17,4.98,66974.0,35,-0.04961832061068698,-0.04961832061068698
2013-09-27,4.94,5.145,5.23,4.93,100171.0,35,0.03313253012048176,0.033132530120481764
2013-09-30,5.15,5.14,5.325,5.055,55291.0,35,-0.0009718172983478899,-0.00097181729834789
2013-10-08,5.155,5.22,5.3,5.06,45300.0,35,0.015564202334630364,0.015564202334630363
2013-10-09,5.22,5.23,5.24,5.175,33011.0,35,0.0019157088122606658,0.0019157088122606653
2013-10-10,5.255,5.19,5.275,5.165,38246.0,35,-0.0076481835564053595,-0.007648183556405358
2013-10-11,5.2,5.2,5.245,5.14,37115.0,35,0.0019267822736030416,0.0019267822736030414
2013-10-14,5.205,5.19,5.235,5.16,32801.0,35,-0.001923076923076882,-0.001923076923076882
2013-10-15,5.195,5.285,5.315,5.175,49836.0,35,0.01830443159922924,0.018304431599229242
2013-10-16,5.315,5.28,5.315,5.15,35420.0,35,-0.0009460737937558928,-0.0009460737937558928
2013-10-17,5.24,5.545,5.545,5.23,78265.0,35,0.050189393939393874,0.050189393939393874
2013-10-18,5.54,5.515,5.61,5.425,56962.0,35,-0.005410279531109152,-0.005410279531109152
2013-10-21,5.565,5.58,5.665,5.475,68985.0,35,0.011786038077969246,0.011786038077969246
2013-10-22,5.615,5.8,5.86,5.545,69778.0,35,0.039426523297490995,0.039426523297491
2013-10-23,5.78,5.995,6.085,5.695,77869.0,35,0.03362068965517247,0.03362068965517247
2013-10-24,6.05,5.875,6.2,5.875,63219.0,35,-0.0200166805671393,-0.0200166805671393
2013-10-25,5.8,5.58,6.025,5.58,48731.0,35,-0.050212765957446795,-0.0502127659574468
2013-10-28,5.58,5.305,5.68,5.3,46196.0,35,-0.04928315412186386,-0.04928315412186386
