代码,名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称
600767,*ST运盛,2025,医疗服务,5205,医疗服务Ⅱ
600768,宁波富邦,2007,有色金属,5019,金属压延
600769,祥龙电业,2053,公用事业,5139,水务
600770,综艺股份,2078,综合行业,5199,综合行业Ⅱ
600771,广誉远,2022,中药,5074,中成药
600773,西藏城投,2072,房地产,5191,房地产Ⅱ
600774,汉商集团,2066,零售业,5162,百货
600775,南京熊猫,2048,通信设备,5147,通信终端设备
600776,东方通信,2048,通信设备,5147,通信终端设备
600777,新潮能源,2005,石油石化,5014,石油开采
600778,友好集团,2066,零售业,5162,百货
600779,水井坊,2010,酿酒,5030,白酒
600780,通宝能源,2052,电力,5135,火电
600781,辅仁药业,2022,中药,5074,中成药
600782,新钢股份,2006,钢铁,5015,普钢
600783,鲁信创投,2077,复合材料,5082,复合材料Ⅱ
600784,鲁银投资,2075,多元金融,5190,多元金融Ⅱ
600785,新华百货,2066,零售业,5162,百货
600787,中储股份,2062,仓储物流,5185,仓储物流Ⅱ
600789,鲁抗医药,2023,生物制品,5079,生物制品Ⅱ
600790,轻纺城,2066,零售业,5162,百货
600791,京能置业,2072,房地产,5191,房地产Ⅱ
600792,云煤能源,2004,煤炭,5009,焦炭
600793,宜宾纸业,2014,造纸,5043,普通纸
600794,保税科技,2062,仓储物流,5185,仓储物流Ⅱ
600795,国电电力,2052,电力,5135,火电
600796,钱江生化,2018,农药,5067,农药Ⅱ
600797,浙大网新,2049,IT设备,5153,IT设备Ⅱ
600798,宁波海运,2057,水上运输,5178,内河沿海运输
600800,天津磁卡,2078,综合行业,5199,综合行业Ⅱ
600801,华新水泥,2029,水泥,5087,水泥Ⅱ
600802,福建水泥,2029,水泥,5087,水泥Ⅱ
600803,新奥股份,2016,化工,5051,精细化工
600804,鹏博士,2076,互联网,5158,互联网Ⅱ
600805,悦达投资,2078,综合行业,5199,综合行业Ⅱ
600806,*ST昆机,2035,机床设备,5099,机床
600807,天业股份,2072,房地产,5191,房地产Ⅱ
600808,马钢股份,2006,钢铁,5015,普钢
600809,山西汾酒,2010,酿酒,5030,白酒
600810,神马股份,2020,化纤,5063,锦纶
600811,东方集团,2064,贸易,5159,贸易Ⅱ
600812,华北制药,2021,医药制造,5071,化学原料药
600814,杭州解百,2066,零售业,5162,百货
600815,*ST厦工,2034,工程机械,5098,工程机械Ⅱ
600816,安信信托,2075,多元金融,5190,多元金融Ⅱ
