代码,名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称
603089,正裕工业,2043,汽车配件,5129,汽车配件Ⅱ
603090,宏盛股份,2038,专用设备,5114,其他专用设备
603096,新经典,2073,文化传媒,5170,出版发行
603098,森特股份,2054,工程建筑,5194,建筑装饰
603099,长白山,2068,旅游,5168,旅游Ⅱ
603100,川仪股份,2041,仪器仪表,5119,工业控制自动化
603101,汇嘉时代,2066,零售业,5162,百货
603103,横店影视,2073,文化传媒,5173,广播电影电视
603106,恒银金融,2050,电子设备,5154,电子设备Ⅱ
603108,润达医疗,2023,生物制品,5078,诊断试剂
603110,东方材料,2016,化工,5049,涂料油漆
603111,康尼机电,2050,电子设备,5154,电子设备Ⅱ
603113,金能科技,2004,煤炭,5009,焦炭
603116,红蜻蜓,2012,服装,5040,服装Ⅱ
603117,万林股份,2062,仓储物流,5185,仓储物流Ⅱ
603118,共进股份,2048,通信设备,5147,通信终端设备
603123,翠微股份,2066,零售业,5162,百货
