date,returnRate
2013-01-04,
2013-01-07,0.016597691081718303
2013-01-08,0.012638510739936267
2013-01-09,-0.007536438140538985
2013-01-10,0.011836363976075851
2013-01-11,-0.013148290232052622
2013-01-14,0.03397271868265682
2013-01-15,0.014566969114840159
2013-01-16,-0.0037975422734064256
2013-01-17,-0.009466764270194772
2013-01-18,0.015736186917657574
2013-01-21,0.010928272637707593
2013-01-22,-0.02295026365990339
2013-01-23,0.007898155277494386
2013-01-24,-0.02321974794106813
2013-01-25,0.013912248114110595
2013-01-28,0.02438292635758563
2013-01-29,0.006607570596372964
2013-01-30,-0.0036884563769679765
2013-01-31,-0.014824566212556059
2013-02-01,0.0009540500646756022
2013-02-04,-0.012151607107094793
2013-02-05,0.013472386338187228
2013-02-06,0.00874469659888289
2013-02-07,0.007645508756746143
2013-02-08,0.0178557669148982
2013-02-18,0.012366651774476628
2013-02-19,-0.020313422899970953
2013-02-20,0.03570813289109754
2013-02-21,-0.014115257952532873
2013-02-22,-0.0022347654578407897
2013-02-25,0.004011143325847824
2013-02-26,-0.006410775715177257
2013-02-27,-0.0076354935230962045
2013-02-28,0.014459738988128837
2013-03-01,0.017816403860951933
2013-03-04,-0.029258166950509396
2013-03-05,0.03558443714665199
2013-03-06,0.014830693643579279
2013-03-07,-0.01548684319850541
2013-03-08,-0.019451370518667535
2013-03-11,0.008132734471462469
2013-03-12,-0.035563199527419154
2013-03-13,-0.007699205766960968
2013-03-14,0.007574661739444514
2013-03-15,0.007419631856264608
2013-03-18,-0.009355319883856869
2013-03-19,0.0028997396279926172
2013-03-20,0.023952788057604146
2013-03-21,0.009602345647208932
2013-03-22,0.0057255769921031935
2013-03-25,-0.0005061394715321574
2013-03-26,-0.011881927535447315
2013-03-27,0.0037869101199001576
2013-03-28,-0.026178185321973996
2013-03-29,0.005956916038148457
2013-04-01,0.007864189074403423
2013-04-02,-0.02333730042728025
2013-04-03,-0.006893024003333217
2013-04-08,0.011267353331055009
2013-04-09,0.008169365960691217
2013-04-10,-0.010022424675202039
2013-04-11,-0.0015901911616041844
2013-04-12,-0.007257932419882167
2013-04-15,-0.011135313197687438
2013-04-16,0.006447229995851078
2013-04-17,0.017236935127905247
2013-04-18,0.0007994055004669295
2013-04-19,0.021442635252432448
2013-04-22,0.01778521680646406
2013-04-23,-0.025213765511336576
2013-04-24,0.02532459453274926
2013-04-25,-0.007059158825799024
2013-04-26,-0.015819099082262134
2013-05-02,0.011545229493472647
2013-05-03,0.027257236262844486
2013-05-06,0.018841448039840232
2013-05-07,0.0005834613969874508
2013-05-08,0.013286226714471097
2013-05-09,5.101656251161285e-06
2013-05-10,0.0066712304384152505
2013-05-13,0.016255468071631106
2013-05-14,-0.008864740283926668
2013-05-15,0.018592734305253076
2013-05-16,-0.006625679809995972
2013-05-17,0.015574261530359018
2013-05-20,0.014328042275743594
2013-05-21,0.02899792329619965
2013-05-22,-0.017728449359068636
2013-05-23,0.0012088335581675834
2013-05-24,0.030958696577740037
2013-05-27,0.02836750971449204
2013-05-28,-0.01466201662596212
2013-05-29,0.007279527760655841
2013-05-30,0.0251818583627415
2013-05-31,0.003416479491531127
2013-06-03,-0.02237947211575437
2013-06-04,-0.030275357193465326
2013-06-05,0.005504943037681108
2013-06-06,-0.019492829030989405
2013-06-07,-0.012406666157001959
2013-06-13,-0.01738214855223261
2013-06-14,0.035192304527546785
2013-06-17,0.006536607452019283
2013-06-18,-0.003979496185600853
2013-06-19,-0.007662979018560475
2013-06-20,-0.02925488345797273
2013-06-21,-0.003000257580978419
2013-06-24,-0.054951284111678135
2013-06-25,-0.002366073458256418
2013-06-26,0.04172570124723941
2013-06-27,-0.01923925924342655
2013-06-28,-0.012944802303245156
2013-07-01,0.035787561010324466
2013-07-02,0.023232341498434315
2013-07-03,0.0064064056460556166
2013-07-04,0.0009946584675631324
2013-07-05,-0.01600891001182378
2013-07-08,-0.02428702188841142
2013-07-09,0.013502112379471722
2013-07-10,0.023448475152658167
2013-07-11,0.017301502575558698
2013-07-12,0.006139819513291095
2013-07-15,0.03573757034415126
2013-07-16,0.010887188173724803
2013-07-17,-0.01293062171202924
2013-07-18,0.008353428020371794
2013-07-19,-0.019895260786748324
2013-07-22,0.031384221002939056
2013-07-23,0.02209789147875876
2013-07-24,0.012208520523978644
2013-07-25,-0.03777038394964019
2013-07-26,0.005919622652650431
2013-07-29,-0.01672455302709611
2013-07-30,-0.011189471507781866
2013-07-31,0.012436555888377086
2013-08-01,0.03409049898249605
2013-08-02,0.010706362168980837
2013-08-05,0.029362720873676494
2013-08-06,0.0019893439716250684
2013-08-07,-0.009925820235516964
2013-08-08,0.007531355381375043
2013-08-09,-0.008292461808529984
2013-08-12,-0.0013307457497188163
2013-08-13,0.007742132551729565
2013-08-14,-0.005693976974396077
2013-08-15,-0.014673404101308941
2013-08-16,-0.019077758170088725
2013-08-19,0.02443713250332
2013-08-20,0.0005907973935631082
2013-08-21,0.015104134891699919
2013-08-22,0.002637684735997143
2013-08-23,0.0009229157329343038
2013-08-26,0.021885877670307505
2013-08-27,0.0024367323248536874
2013-08-28,-0.016264971345930704
2013-08-29,0.000611648075102353
2013-08-30,-0.026656757955087606
2013-09-02,0.022410416998563654
2013-09-03,0.01890211339489507
2013-09-04,0.011074276663525054
2013-09-05,0.01877896817358774
2013-09-06,0.011892182622131283
2013-09-09,-0.005853907320188226
2013-09-10,0.0004799166560444628
2013-09-11,-0.011498789681709332
2013-09-12,-0.0022243821998385103
2013-09-13,0.010096489914140184
2013-09-16,0.021649455141739958
